,name,averageRating
3313,Menthol MAC,5.0
3318,Amnesia Zkittlez Auto,5.0
3327,GM3 Gak,5.0
3333,Lime Tart,5.0
3337,Space Rip,5.0
3378,Gravity Apple,5.0
3392,Batgirl,5.0
3396,Shady Apples,5.0
3398,D Cure,5.0
3402,Fall Frost,5.0
3404,Orange Creampop,5.0
3413,Grape Pearls,5.0
3414,Blue Wonder,5.0
3415,Cherry Kiss,5.0
3422,Bubba's Breath,5.0
3423,Acadia,5.0
3426,Gorilla Lemon Fire,5.0
3427,Peach Around,5.0
3438,Acid Dawg,5.0
3445,Acia,5.0
3446,Force OG,5.0
3450,Sugar Bomb,5.0
3453,Tahoe Dreamin',5.0
3472,Zpectrum,5.0
3478,Creature Breath,5.0
3480,T99,5.0
3493,Boombaye,5.0
3498,Freeze Cheese '89,5.0
3504,Highway 30 OG,5.0
3510,Black Silk,5.0
3512,Banana Gelato,5.0
3516,Royal Slippers,5.0
3518,Big Buns,5.0
3520,Mind Fiesta,5.0
3527,Diamond Valley Kush,5.0
3528,Pink Alien,5.0
3538,Tea Time,5.0
3542,Papaya Melons,5.0
3551,OG Limekiller,5.0
3557,Strawberry Tree,5.0
3571,Bumble Kat,5.0
3574,Berry Melon-o,5.0
3589,Exodus Kush,5.0
3592,Peach Hashplant,5.0
3594,Midnight Moon,5.0
3605,Cullinan,5.0
3611,Dog Face,5.0
3615,Blukashima,5.0
3618,Cry Baby,5.0
3621,G.1000,5.0
3640,Smelliot,5.0
3642,Red Tommyz,5.0
3643,Peach Fuzz,5.0
3646,Purple Paki Candy,5.0
3649,Stimulus,5.0
3652,Orangutan Titties,5.0
3653,Black Runtz Cake,5.0
3670,Pineapple Mojito,5.0
3678,Jilly OG,5.0
3695,Cherry Treat,5.0
3696,Slap Wagon,5.0
3712,Rickey Sticky,5.0
3717,Blue Headed OG,5.0
3719,Hawaiian Skunk Face,5.0
3720,Sour Peaches,5.0
3723,Forum Runtz Cake,5.0
3724,Jack Hammer,5.0
3725,Cirrus,5.0
3727,Amazeballs,5.0
3730,CK5,5.0
3733,Extreme Impact Auto,5.0
3737,Sonoran Toad,5.0
3738,Unicorn Slippers,5.0
3748,Grapefruit Zlushiez,5.0
3753,Citrus Glueroy,5.0
3757,Obi Wan OG,5.0
3763,American Beauty,5.0
3767,West Coast Diesel,5.0
3769,The Wolf,5.0
3772,Citrus Cooler,5.0
3773,Iced Out Cake,5.0
3776,Alpha Cow,5.0
3786,The Cat's Pajamas,5.0
3788,Space Jello,5.0
3792,Blank Check,5.0
3799,Forbidden Muffin,5.0
3800,Pineapple MAC,5.0
3807,Jungle Spice,5.0
3808,Brian Berry Honey Lemon,5.0
3809,Turbo Lemon Cake,5.0
3812,Guerilla Fume,5.0
3813,Bonzai,5.0
3829,Zushilato,5.0
3846,Yuzu MAC,5.0
3857,Dirty Shirley,5.0
3858,11:11,5.0
3863,Jigsaw,5.0
3878,Riesling,5.0
3879,Cold As Ice,5.0
3883,Gas Station,5.0
3891,Cold In The D,5.0
3896,Taylor Ham and Cheese,5.0
3900,Mandarin Jack,5.0
3915,Sowahh Sherb,5.0
3923,Sweet Purple,5.0
3940,Purple Fluff,5.0
3948,Vapor Fuel,5.0
3985,London Jealousy,5.0
3986,Baccara,5.0
3993,Golden XTRX CO2 Dabbables,5.0
4005,Butterfingaz,5.0
4008,Mendo Montage,5.0
4011,Coconut Cream,5.0
4012,Bubble Spritz,5.0
4013,Fat Kitty,5.0
4026,City of God,5.0
4032,Atreyu,5.0
4049,Luca Brasi,5.0
4060,Sorbet Dreams,5.0
4066,Jack Smack,5.0
4072,CBD Rich Blessing,5.0
4082,Jack’s Girl,5.0
4083,OC Oranges,5.0
4107,Hindu Cookies,5.0
4117,Raw Dawg,5.0
4124,Soul Food,5.0
4126,Nino Brown,5.0
4129,Grandpa's Gun Chest,5.0
4133,Super Cookies,5.0
4148,Red Rhino,5.0
4151,Grape Noir,5.0
4153,Tristar Pebbles,5.0
4160,Shirley Ross OG,5.0
4162,Super Cherry,5.0
4165,Soulshine Aloha,5.0
4172,Platinum TK41,5.0
4212,Watermelon Dream,5.0
4226,Sweet Relief,5.0
4235,Denman,5.0
4241,Humboldt Hawaiian,5.0
4243,Holy Gorilla,5.0
4254,Mt. Citrus,5.0
4256,Willie Cheesie,5.0
4264,Pineapple Pancakes,5.0
4266,Bergamot,5.0
4271,Professor Hinkle,5.0
4281,Fresca Melon,5.0
4284,Willie Berrie,5.0
4292,Crockett’s Dog,5.0
4301,Wonder Dawg,5.0
4302,Babby Powder,5.0
4306,Vampire Killer,5.0
4308,Kush VIII,5.0
4315,Lemon Cherry Zkittelz,5.0
4320,Lucid Lemon,5.0
4326,Original Mandarin Cookies,5.0
4328,The Big Dirty,5.0
4331,Lime Berry,5.0
4342,Rebel God Smoke,5.0
4343,Mitten Cake Batter,5.0
4347,Elvis Glue,5.0
4358,Oldtimer’s Haze,5.0
4370,Daz Dillinger,5.0
4383,Melon Cookies,5.0
4388,Star Pebbles,5.0
4391,Gaz Money,5.0
4394,Shadow Dancer,5.0
4402,Sephora,5.0
4407,Wet P,5.0
4422,The Creature,5.0
4427,Inferno Haze,5.0
4456,Wayne's Day Off,5.0
4462,Sausage Berry,5.0
4463,Purple Swish,5.0
4466,Tomb Raider,5.0
4477,Blueberry Jam,5.0
4479,Chem Dog D,5.0
4507,Bob87,5.0
4512,Grape Sundae,5.0
4524,Tropical Cake,5.0
4538,Party Animal,5.0
4539,Baller Candy,5.0
4547,Grape Raspberry,5.0
4548,Platinum Punch Remix,5.0
4552,Kali Kandy,5.0
4571,Sour Belts,5.0
4573,Rainbow Grape,5.0
4574,Purple Monkey Ghani,5.0
4578,3 Gorillas,5.0
4583,Sherb Mintz,5.0
4585,Cherry Vortex,5.0
4595,Dutch Dynasty,5.0
4603,Pineapple Runtz Cake,5.0
4611,Lemon Up,5.0
4619,3P,5.0
4627,PuTang,5.0
4629,Picasso,5.0
4636,Buddha's Tooth,5.0
4642,Grape Smuggler,5.0
4645,The Bird,5.0
4653,Snowdawg 2,5.0
4656,Black Mandarin,5.0
4668,White Lime,5.0
4674,Second Breakfast,5.0
4686,Struffoli,5.0
4691,Black Dynamite,5.0
4694,LCG x Kryptochronic,5.0
4699,Sour Boggle,5.0
4711,Wifi Pie,5.0
4712,Luxuriotti,5.0
4716,Fruit Kakez,5.0
4719,Dozer,5.0
4722,Paradise Pine #2,5.0
4734,Grape MAC,5.0
4736,Grizzly Purple,5.0
4748,Berry Sunset,5.0
4751,Chem Valley Bubblefunk,5.0
4758,Tang Tang,5.0
4770,Royal Purple Kush,5.0
4774,The Stinking Rose,5.0
4775,Miss Poison,5.0
4784,Royal Tree Sherbet,5.0
4785,Tempura,5.0
4792,Limesicle,5.0
4796,OG Triploid,5.0
4801,Dominator,5.0
4804,Ruby Rose,5.0
4811,Moon Pop,5.0
4833,Pineapple DeVille,5.0
4836,Sour Blue Raspberry,5.0
4842,Fruit Bedrock,5.0
4846,Uplift,5.0
4860,Purple Tears,5.0
4862,Madrina,5.0
4863,Arayah Sunshine,5.0
4868,Tangie Punch,5.0
4877,Spray Tan,5.0
4886,Lemon Dough,5.0
4893,Honey Buns x Double OG Chem,5.0
4901,Jurassic Purp,5.0
4905,Triple Tangie Banana,5.0
4908,Atlantic Kush,5.0
4923,Mango Dragon,5.0
4932,Dionysus,5.0
4938,Sugar Candy,5.0
4942,Melonberry,5.0
4956,Hindu Phunk,5.0
4962,Zelatti,5.0
4963,The Chemist,5.0
4970,Refined Taste,5.0
4983,Phantom Arrow,5.0
4984,Perzimmon,5.0
4994,Balla Runtz,5.0
5006,OG Prince,5.0
5017,Adonai,5.0
5021,Secret Sunset,5.0
5026,Moon Glow,5.0
5029,Moby Dick 2.0,5.0
5034,Andorian,5.0
5050,Whitethorn Rose,5.0
5065,Berry Biscotti,5.0
5066,Rainbow Dash,5.0
5088,Military Chocolate,5.0
5092,CBD OX,5.0
5105,Zkittlez Auto,5.0
5114,ʻAlenuihāhā,5.0
5115,Purple 1,5.0
5123,Orange Bubblegum,5.0
5135,Ol Mendo Hashplant,5.0
5140,Mt. Cook,5.0
5141,Bond Road Kush,5.0
5152,Roxanne,5.0
5156,Styrofoam Cup,5.0
5161,Newberry,5.0
5190,Dragonsmilk,5.0
5197,Night Moves,5.0
5205,Black Thunder,5.0
5209,Gorilla Piss,5.0
5226,Tropic Diesel,5.0
5236,Purple Romulan,5.0
5238,Zparkiez,5.0
5242,Redvine Jackie,5.0
5246,Velvet Roze,5.0
5255,Purple Sunrise,5.0
5261,Pineapple Tart Spicoli,5.0
5263,Haze Queen,5.0
5278,Rick Flair '93,5.0
5280,Orange Grove,5.0
5284,Kandy Crack,5.0
5287,King's Juice,5.0
5289,Sour Fire Tahoe,5.0
5291,Miss Columbian,5.0
5301,Airheadz,5.0
5312,Chem Sour Diesel,5.0
5314,Ganache,5.0
5320,Melted Sherb,5.0
5322,Hooch,5.0
5323,Platinum GSC,5.0
5326,Gold Bars,5.0
5330,Straight A's Haze,5.0
5331,Las Vegas Lemon Skunk,5.0
5353,Cheesy Headband,5.0
5355,Lunch Box,5.0
5357,Dinamex,5.0
5381,25 Eyes,5.0
5386,Gas Pedal,5.0
5390,Purple Sapphire,5.0
5396,Watermelon Cookies,5.0
5402,Texaco Slushy,5.0
5409,The Y,5.0
5433,Mint Durban,5.0
5445,TCB S1,5.0
5447,Pink Payton,5.0
5451,Grape Monster,5.0
5463,Velvet Cream,5.0
5475,Mood Builder,5.0
5481,Egyptian Royalty #1,5.0
5483,Death By Cake OG,5.0
5484,Flying Monkey,5.0
5486,Durban Headband,5.0
5488,Cherry Crush,5.0
5490,Zkittle Head,5.0
5515,Peach Puree,5.0
5518,Cannoli,5.0
5522,Holy Ghost Fiyah,5.0
5527,Jet Fuel Pie,5.0
5529,Apricot Auto,5.0
5552,Bx Chop’D Cheeze,5.0
5570,Lemon Shiv,5.0
5586,Candy Splash,5.0
5602,Holy Moly!,5.0
5606,Firestarter,5.0
5612,Strawberry Fire,5.0
5613,Soraya,5.0
5619,Chocolate Chip Cookies,5.0
5643,Banana God,5.0
5649,Cheese Wiz,5.0
5650,Lemon Citron,5.0
5651,Blueberry Gumbo,5.0
5657,Orange Tsunami,5.0
5673,Headbanger #7,5.0
5689,Diamond Master,5.0
5690,Lovelace,5.0
5698,Tarmonster,5.0
5708,Shogun,5.0
5717,Confidential Cookies,5.0
5730,Apricot Octane,5.0
5734,White Bananas,5.0
5735,Blue Raspberry Breath,5.0
5736,Jungle Diesel,5.0
5737,Guavaoisier,5.0
5738,Hobbit,5.0
5746,Fruit Smash,5.0
5753,Highlight5,5.0
5757,Mental Floss,5.0
5758,Unicorn Pie,5.0
5760,Apple Frosting,5.0
5766,Platinum Koffee,5.0
5775,Headmaster Kush,5.0
5781,Stone Free,5.0
5783,Diabla,5.0
5797,Sting-a-ling,5.0
5815,Triple Threat,5.0
5828,Grateful Puff,5.0
5832,Purple God,5.0
5843,Kush IV,5.0
5846,Blueberry Bang Bang,5.0
5850,Chem i95,5.0
5851,PHD,5.0
5863,King Cone,5.0
5891,Fire Fly,5.0
5895,Moloka’i Purpz,5.0
5897,London Cookies,5.0
5905,Acai Jelly,5.0
5906,Gabriola,5.0
5911,Lemon Pebblez,5.0
5917,Pagoda,5.0
5932,Bisho Purple,5.0
5939,Sour Puffy,5.0
5959,Gumball,5.0
5960,Trewbacca,5.0
5983,420 Carat,5.0
5985,Mendo Bubba,5.0
6004,Sorcerer’s Apprentice,5.0
6006,Gatekeeper OG,5.0
6010,Golden Triangle,5.0
6015,Copacabana,5.0
6020,Frost Berry,5.0
6021,Case OG,5.0
6024,Cherry Meringue,5.0
6029,White Moonshine,5.0
6035,Mega Dummiez,5.0
6037,Sunset Animal,5.0
6040,Goddess OG,5.0
6041,Blue J,5.0
6045,Purple Wizard,5.0
6055,Doctor Doctor,5.0
6062,Willy's Wonders,5.0
6074,OGmatic,5.0
6082,Tony Clifton,5.0
6084,Bubble Bomb,5.0
6096,Klingon,5.0
6098,Alf,5.0
6100,Crockett’s Sour Tangie,5.0
6103,Yakuza,5.0
6116,Hayley's Haze,5.0
6124,Blue Skatalite,5.0
6138,Kwazulu Blue,5.0
6143,Ice Milk,5.0
6157,Purple Biscotti,5.0
6160,Zunderdog,5.0
6182,Hard Candy,5.0
6184,Magic Gum Drops,5.0
6196,Nipple Nectar,5.0
6199,Epoxy OG,5.0
6200,Syrup OG,5.0
6208,Lemon Verzace,5.0
6218,Eternal Death Slayer 3,5.0
6222,Sweet Valentine,5.0
6227,OG Krypt Melon,5.0
6236,Zour Diesel,5.0
6242,Truffula Tree,5.0
6247,Sweet Jack Haze,5.0
6253,Candy Glue,5.0
6254,Pulsar,5.0
6261,MAC 7,5.0
6278,Bunny Hug,5.0
6282,Tiki Rain,5.0
6287,Berry Cobbler,5.0
6288,Cherry Trance,5.0
6297,Memberberry OG,5.0
6310,M1-56,5.0
6312,#1 Stunna,5.0
6324,Sun Sour,5.0
6326,Cereal Runtz,5.0
6332,Bio-Dome,5.0
6335,Mercy Fruit Haze,5.0
6344,Purple Strawberries,5.0
6345,ManBearPig OG,5.0
6347,Fresh Air,5.0
6355,Cherry Cheesecake,5.0
6356,Electric Haze,5.0
6363,Flodu,5.0
6365,Frisky Dragon,5.0
