,0
symptom_eyePressure_score,symptom_eyePressure_score
symptom_eyePressure_votes,symptom_eyePressure_votes
symptom_fatigue_score,symptom_fatigue_score
symptom_fatigue_votes,symptom_fatigue_votes
symptom_headaches_score,symptom_headaches_score
symptom_headaches_votes,symptom_headaches_votes
symptom_inflammation_score,symptom_inflammation_score
symptom_inflammation_votes,symptom_inflammation_votes
symptom_insomnia_score,symptom_insomnia_score
symptom_insomnia_votes,symptom_insomnia_votes
symptom_lackOfAppetite_score,symptom_lackOfAppetite_score
symptom_lackOfAppetite_votes,symptom_lackOfAppetite_votes
symptom_muscleSpasms_score,symptom_muscleSpasms_score
symptom_muscleSpasms_votes,symptom_muscleSpasms_votes
symptom_nausea_score,symptom_nausea_score
symptom_nausea_votes,symptom_nausea_votes
symptom_pain_score,symptom_pain_score
symptom_pain_votes,symptom_pain_votes
symptom_seizures_score,symptom_seizures_score
symptom_seizures_votes,symptom_seizures_votes
symptom_spasticity_score,symptom_spasticity_score
symptom_spasticity_votes,symptom_spasticity_votes
symptom_stress_score,symptom_stress_score
symptom_stress_votes,symptom_stress_votes
terp_caryophyllene_score,terp_caryophyllene_score
terp_humulene_score,terp_humulene_score
terp_limonene_score,terp_limonene_score
terp_linalool_score,terp_linalool_score
terp_myrcene_score,terp_myrcene_score
terp_ocimene_score,terp_ocimene_score
terp_pinene_score,terp_pinene_score
terp_terpinolene_score,terp_terpinolene_score
topEffect,topEffect
totalFollowers,totalFollowers
traitsCountTotal,traitsCountTotal
traitsSourceCountTotal,traitsSourceCountTotal
